x1,x2,x3,x4,x5,score
0.51234876,-2.34567891,0.98765432,1.23456789,-1.87654321,59.334385843278056
2.13456789,-4.87654321,2.34567891,0.87654321,-3.21098765,77.23529667498595
1.87654321,-3.21098765,1.54321098,2.10987654,-2.65432109,75.72399215218724
-0.98765432,-1.23456789,0.65432109,1.87654321,-2.10987654,40.76940098945014
0.12345678,-0.87654321,1.23456789,0.98765432,-1.54321098,40.08174486961748
0.0154321,-0.91234567,1.11223344,0.84567891,-1.41234567,31.555551464900574
0.20123456,-0.7654321,1.04567891,0.99876543,-1.60123456,39.75058218310302
0.08987654,-0.82345678,1.17890123,0.93456789,-1.48987654,38.76127428834471
0.13456789,-0.95432109,1.25678901,0.87654321,-1.54321098,42.354605047708695
0.04567891,-0.86789012,1.03456789,0.91234567,-1.47890123,30.131863336198464
0.03214567,-0.89987654,1.0254321,0.92567891,-1.48901234,28.228263494537792
0.05876543,-0.88012345,1.04876543,0.90234567,-1.47098765,30.359122224120558
0.02123456,-0.87098765,1.01234567,0.94012345,-1.49567891,28.828866976705914
0.04098765,-0.86012345,1.03098765,0.9154321,-1.48012345,30.27263417767964
0.05012345,-0.8754321,1.04012345,0.93098765,-1.4854321,29.525312237104544
0.025,-0.89,1.018,0.93,-1.492,28.34098310249062
0.038,-0.905,1.01,0.92,-1.488,28.142244845992433
0.03,-0.88,1.022,0.94,-1.49,28.588813386932696
0.045,-0.895,1.028,0.925,-1.486,28.624795523729663
0.035,-0.885,1.015,0.935,-1.491,28.502552282527077
0.0305,-0.908,1.012,0.922,-1.4895,27.90975896173334
0.0365,-0.902,1.008,0.918,-1.487,28.260777935641748
0.033,-0.911,1.014,0.927,-1.4905,27.731981039392483
0.029,-0.899,1.016,0.921,-1.488,28.24506782382306
0.0375,-0.906,1.011,0.924,-1.489,28.00423756592966
0.028,-0.9125,1.0115,0.929,-1.491,27.559419166251516
0.0325,-0.914,1.013,0.926,-1.492,27.660962626053056
0.034,-0.91,1.009,0.928,-1.49,27.714859776827165
0.031,-0.9085,1.0125,0.9235,-1.4895,27.86183181928041
0.0295,-0.911,1.015,0.927,-1.4915,27.703139155137315
0.0305,-0.913,1.011,0.928,-1.491,27.595011569356842
0.0285,-0.912,1.012,0.9295,-1.4915,27.57450483980029
0.0315,-0.9115,1.0105,0.9275,-1.4905,27.660270494238933
0.029,-0.9135,1.0135,0.93,-1.492,27.53500695828943
0.032,-0.912,1.0125,0.9285,-1.49125,27.643344851830726
0.0275,-0.9145,1.013,0.931,-1.4925,27.46246889957777
0.02875,-0.91325,1.01225,0.9305,-1.49175,27.51700760076936
0.02925,-0.91275,1.01175,0.92925,-1.49125,27.562771544878807
0.02825,-0.91375,1.01375,0.93025,-1.49225,27.516039410543268
0.027,-0.915,1.014,0.9315,-1.493,27.440021460259707
0.0262,-0.9158,1.0132,0.9322,-1.4938,27.389206447877967
0.0278,-0.9162,1.0148,0.9318,-1.4935,27.41443840288517
0.0258,-0.9142,1.0128,0.932,-1.4942,27.43745297239405
0.0273,-0.916,1.0125,0.9308,-1.494,27.425065260845454
0.0265,-0.9152,1.0135,0.9313,-1.4932,27.431010405790392
0.0252,-0.9165,1.012,0.933,-1.4945,27.334372049847698
0.026,-0.917,1.0138,0.9328,-1.4948,27.346789228990836
0.0248,-0.915,1.0115,0.9335,-1.495,27.36260829812901
0.0255,-0.9175,1.0125,0.934,-1.4955,27.292671728632
0.0268,-0.918,1.0142,0.9332,-1.4952,27.321316094120718
0.0242,-0.9185,1.011,0.9345,-1.4958,27.23052978620087
0.025,-0.918,1.012,0.9342,-1.4957,27.26591404703214
0.0257,-0.9178,1.0128,0.9341,-1.4956,27.286157475673008
0.0245,-0.9172,1.0115,0.9343,-1.4959,27.279697606938093
0.0253,-0.9182,1.0123,0.9344,-1.49565,27.260220008798708
0.0232,-0.9192,1.01,0.9348,-1.4959,27.188316866540667
0.024,-0.9188,1.0112,0.935,-1.496,27.210570026436876
0.0238,-0.919,1.0108,0.9349,-1.49595,27.202454852088962
0.0245,-0.9195,1.0115,0.9352,-1.4961,27.193050813001456
0.0235,-0.9198,1.0103,0.9353,-1.4962,27.16556459719768
0.0221,-0.9205,1.009,0.9362,-1.4972,27.109270762190764
0.0215,-0.9212,1.0082,0.9371,-1.4981,27.063372882778964
0.0228,-0.92,1.0098,0.9358,-1.4968,27.141655152174764
0.0219,-0.921,1.0089,0.9368,-1.4979,27.082143447646924
0.023,-0.9208,1.0095,0.936,-1.4975,27.117418577439032
0.0208,-0.9218,1.0075,0.9378,-1.4988,27.024187067241968
0.0212,-0.9221,1.0079,0.9382,-1.4992,27.01377007232119
0.0205,-0.9225,1.0072,0.9388,-1.4998,26.98228518131811
0.021,-0.9228,1.0076,0.9391,-1.5001,26.974528114038932
0.0203,-0.9232,1.007,0.9397,-1.5007,26.94374218367358
0.0198,-0.9237,1.0065,0.9402,-1.5012,26.91450436515006
0.0201,-0.924,1.0068,0.9405,-1.5015,26.904544660616608
0.0195,-0.9239,1.0062,0.9408,-1.5018,26.894203131622458
0.0206,-0.9242,1.0071,0.941,-1.502,26.895269315458805
0.0192,-0.9245,1.0059,0.9413,-1.5023,26.86507728260097
0.0182,-0.9255,1.0049,0.9423,-1.5033,26.808173292834397
0.0175,-0.9262,1.0042,0.943,-1.504,26.769008862952766
0.0188,-0.925,1.0056,0.9418,-1.5028,26.83806363162943
0.019,-0.926,1.0058,0.9428,-1.5038,26.795219431670123
0.0178,-0.9258,1.0045,0.9426,-1.5036,26.79023378092028
0.0162,-0.9275,1.0028,0.9447,-1.5055,26.68976905923527
0.015,-0.9288,1.0015,0.9462,-1.507,26.617403078070858
0.017,-0.927,1.0035,0.9442,-1.505,26.719572103308494
0.0165,-0.928,1.003,0.9452,-1.506,26.670157891246703
0.0158,-0.9292,1.0022,0.9468,-1.5078,26.602873334536476
0.0142,-0.9298,1.001,0.9474,-1.5084,26.563887013468666
0.0152,-0.9302,1.002,0.9478,-1.5088,26.554831226819203
0.0148,-0.9285,1.0008,0.946,-1.5072,26.62595478987611
0.016,-0.93,1.003,0.9476,-1.5086,26.571497980974037
0.0138,-0.9305,1.0005,0.948,-1.5092,26.531738964503994
0.0125,-0.9312,0.9995,0.9485,-1.5098,26.496227624956227
0.0132,-0.931,1.0,0.9482,-1.5095,26.511320356736498
0.0128,-0.9308,0.9998,0.9483,-1.5096,26.511888623155006
0.0136,-0.9311,1.0002,0.9481,-1.5097,26.51306870365319
0.014,-0.9313,1.0004,0.9484,-1.5099,26.50516587934038
0.0112,-0.9315,0.9988,0.9487,-1.5099,26.477939498828384
0.012,-0.9317,0.9992,0.9489,-1.5101,26.473617662458093
0.0118,-0.9319,0.9986,0.9491,-1.5103,26.46310785669652
0.0123,-0.9314,0.999,0.9488,-1.51,26.483923754700776
0.0115,-0.9316,0.9989,0.949,-1.5102,26.471341976752853
