x1,x2,x3,x4,x5,score
0.51234567,-2.13456789,1.87654321,2.3456789,-3.45678901,87.27881743174544
5.12345678,-7.65432109,2.3456789,4.56789012,-8.7654321,250.34770845718492
2.3456789,-3.45678901,0.98765432,1.23456789,-4.56789012,104.27247135403583
3.21098765,-4.32109876,1.54321098,2.10987654,-5.43210987,128.2441790428435
1.87654321,-2.98765432,1.23456789,2.87654321,-3.21098765,54.913214545716606
1.23456789,-2.5,1.0,2.0,-3.0,50.806048465414236
2.0,-3.0,1.0,2.0,-3.0,27.0
1.5,-2.8,1.1,2.5,-3.1,77.88949016875159
1.0,-2.0,1.5,2.5,-3.2,70.64983005625052
1.75,-2.9,1.2,2.75,-3.05,59.086594949549536
2.0,-3.0,1.0,2.0,-3.2,35.14983005625052
1.9,-3.1,1.05,2.1,-3.0,33.95142500580003
2.1,-2.9,0.95,1.9,-3.1,35.07125506205057
1.95,-3.05,1.1,2.05,-3.05,31.687569404444364
2.05,-2.95,1.0,2.0,-2.95,28.07580451114538
2.0,-3.0,1.0,2.0,-3.1,29.51983005625052
2.025,-2.975,1.025,2.025,-3.025,27.868707970243108
1.975,-3.025,0.975,1.975,-2.975,27.368707970243115
2.0,-3.0,1.05,2.05,-3.0,28.28386967409692
2.0,-3.0,0.95,1.95,-3.0,27.683869674096933
2.0,-3.0,1.0,2.0,-2.95,27.191934837048464
2.025,-3.025,0.975,1.975,-3.025,27.868707970243108
1.975,-2.975,1.025,2.025,-2.975,27.368707970243115
2.0,-3.0,0.975,2.025,-3.0,27.297483188097242
2.0,-3.025,1.0,2.0,-3.0,27.273741594048623
2.0,-3.0,1.0,2.0,-3.025,27.273741594048623
1.975,-3.0,1.0,2.0,-3.0,27.023741594048623
2.0,-2.975,1.0,2.0,-3.0,26.973741594048626
2.0,-3.0,1.025,2.0,-3.0,27.17374159404862
2.0,-3.0,1.0,2.025,-3.0,27.22374159404862
2.0,-2.985,1.0,2.0,-3.0,26.9546053539692
2.01,-2.975,1.0,2.0,-3.0,27.033574309765907
2.0,-2.975,0.99,2.0,-3.0,26.973574309765908
2.0,-2.975,1.0,1.99,-3.0,26.953574309765912
1.99,-2.975,1.0,2.0,-3.0,26.953574309765912
1.995,-2.98,1.0,1.995,-3.0,26.92917177954059
2.0,-2.97,1.0,1.99,-3.0,26.9778602084304
1.99,-2.98,1.005,2.0,-3.0,26.954045098915188
2.0,-2.975,0.995,1.995,-3.0,26.953660386733993
1.995,-2.975,1.0,2.0,-3.005,26.993660386733993
1.993,-2.982,1.0,1.997,-2.998,26.916509582172424
1.997,-2.978,1.002,1.993,-3.002,26.95296198836783
1.996,-2.981,0.998,1.996,-2.999,26.92287511803633
1.994,-2.979,1.001,1.994,-3.001,26.936044019370414
1.998,-2.977,0.999,1.998,-2.997,26.934338797527708
1.992,-2.9835,1.0,1.996,-2.9985,26.914279050103005
1.9935,-2.9825,1.0005,1.9975,-2.9975,26.91660705037101
1.994,-2.983,0.9995,1.9955,-2.998,26.912282699064814
1.9925,-2.9815,1.001,1.9965,-2.9995,26.925659355007113
1.993,-2.982,0.999,1.997,-2.997,26.90969989184112
1.9925,-2.98225,0.9985,1.99725,-2.99775,26.91254999788601
1.99325,-2.98175,0.99925,1.99675,-2.99825,26.9163574591955
1.99275,-2.9825,0.99975,1.9965,-2.9975,26.911305415859232
1.9935,-2.98125,0.999,1.997,-2.99875,26.92034175320798
1.99225,-2.98275,0.9995,1.99625,-2.998,26.912023067172495
1.9932,-2.9822,0.9988,1.9968,-2.9972,26.909838151198738
1.9928,-2.9821,0.9992,1.9972,-2.9978,26.914225596586675
1.9931,-2.9819,0.9989,1.9969,-2.9979,26.91399097700466
1.9929,-2.9823,0.9991,1.9971,-2.9976,26.912661685732576
1.9933,-2.9824,0.9993,1.9967,-2.9974,26.91129488635464
1.9931,-2.9821,0.9987,1.9971,-2.9971,26.910016287825968
1.9928,-2.9823,0.9989,1.9969,-2.9973,26.910166231177868
